en,ru-RU,zh-CN,zh-TW,ja,ko,fr
Remove the selected online configuration source.,Удалить выбранный источник онлайн-конфигурации.,删除选中的在线配置源。,移除選取的線上設定來源。,選択したオンライン設定ソースを削除します。,선택한 온라인 구성 소스를 제거합니다.,Supprimer la source de configuration en ligne sélectionnée.
Remove this application from the automatic Game Mode list.,Удалить это приложение из списка автоматического игрового режима.,从自动游戏模式列表中删除此应用程序。,從自動遊戲模式清單中移除此應用程式。,このアプリケーションを自動 Game Mode 一覧から削除します。,이 애플리케이션을 자동 Game Mode 목록에서 제거합니다.,Supprimer cette application de la liste automatique du Game Mode.
Remove this application routing rule.,Удалить это правило маршрутизации приложения.,删除此应用程序路由规则。,移除此應用程式路由規則。,このアプリケーションルーティングルールを削除します。,이 애플리케이션 라우팅 규칙을 제거합니다.,Supprimer cette règle de routage d’application.
Request elevation and enable transparent TCP/UDP capture through NetworkService and WinDivert.,Запросить повышение прав и включить прозрачный перехват TCP/UDP через NetworkService и WinDivert.,请求提升权限，并通过 NetworkService 和 WinDivert 启用透明 TCP/UDP 捕获。,要求提高權限，並透過 NetworkService 與 WinDivert 啟用透明 TCP/UDP 擷取。,昇格を要求し、NetworkService と WinDivert による透過 TCP/UDP キャプチャを有効にします。,권한 상승을 요청하고 NetworkService 및 WinDivert를 통한 투명 TCP/UDP 캡처를 활성화합니다.,Demander une élévation et activer la capture TCP/UDP transparente via NetworkService et WinDivert.
Require a random secret in the local PAC URL before the PAC file is served.,Требовать случайный секрет в URL локального PAC перед выдачей PAC-файла.,提供本地 PAC 文件前，要求本地 PAC URL 中包含随机密钥。,提供本機 PAC 檔案前，要求本機 PAC URL 中包含隨機密鑰。,ローカル PAC を配信する前に、ローカル PAC URL にランダムなシークレットを要求します。,로컬 PAC 파일을 제공하기 전에 로컬 PAC URL에 임의의 비밀값을 요구합니다.,Exiger un secret aléatoire dans l’URL PAC locale avant de servir le fichier PAC.
Restore the built-in default GeoSite source list.,Восстановить встроенный список источников GeoSite по умолчанию.,恢复内置的默认 GeoSite 源列表。,還原內建的預設 GeoSite 來源清單。,組み込みの既定 GeoSite ソース一覧を復元します。,기본 제공 GeoSite 소스 목록을 복원합니다.,Restaurer la liste intégrée des sources GeoSite par défaut.
Restore the selected server fields to their last saved values.,Вернуть поля выбранного сервера к последним сохранённым значениям.,将选中服务器字段恢复为上次保存的值。,將選取伺服器欄位還原為上次儲存的值。,選択したサーバーの各項目を最後に保存した値へ戻します。,선택한 서버 필드를 마지막으로 저장한 값으로 복원합니다.,Restaurer les champs du serveur sélectionné à leurs dernières valeurs enregistrées.
Save the configured Game Mode application list.,Сохранить настроенный список приложений игрового режима.,保存已配置的游戏模式应用程序列表。,儲存已設定的遊戲模式應用程式清單。,設定した Game Mode アプリケーション一覧を保存します。,구성된 Game Mode 애플리케이션 목록을 저장합니다.,Enregistrer la liste configurée des applications du Game Mode.
Save the current GeoSite source order and URLs.,Сохранить текущий порядок и URL источников GeoSite.,保存当前 GeoSite 源顺序和 URL。,儲存目前 GeoSite 來源順序與 URL。,現在の GeoSite ソースの順序と URL を保存します。,현재 GeoSite 소스 순서와 URL을 저장합니다.,Enregistrer l’ordre actuel des sources GeoSite et leurs URL.
Save the hotkey configuration and apply it to the running application.,Сохранить настройки горячих клавиш и применить их к запущенному приложению.,保存快捷键配置并应用到正在运行的应用程序。,儲存快速鍵設定並套用至執行中的應用程式。,ホットキー設定を保存し、実行中のアプリケーションに適用します。,단축키 구성을 저장하고 실행 중인 애플리케이션에 적용합니다.,Enregistrer la configuration des raccourcis et l’appliquer à l’application en cours d’exécution.
Save the online PAC URL and refresh the online PAC cache.,Сохранить URL онлайн-PAC и обновить его кэш.,保存在线 PAC URL 并刷新在线 PAC 缓存。,儲存線上 PAC URL 並重新整理線上 PAC 快取。,オンライン PAC URL を保存し、オンライン PAC キャッシュを更新します。,온라인 PAC URL을 저장하고 온라인 PAC 캐시를 새로 고칩니다.,Enregistrer l’URL PAC en ligne et actualiser le cache PAC en ligne.
"Scan Steam, Epic Games, GOG and Xbox libraries for installed games that can be added to automatic Game Mode.","Просканировать библиотеки Steam, Epic Games, GOG и Xbox на установленные игры, которые можно добавить в автоматический игровой режим.",扫描 Steam、Epic Games、GOG 和 Xbox 游戏库，查找可添加到自动游戏模式的已安装游戏。,掃描 Steam、Epic Games、GOG 與 Xbox 遊戲庫，尋找可新增至自動遊戲模式的已安裝遊戲。,Steam、Epic Games、GOG、Xbox のライブラリをスキャンし、自動 Game Mode に追加できるインストール済みゲームを探します。,"Steam, Epic Games, GOG 및 Xbox 라이브러리를 검색하여 자동 Game Mode에 추가할 수 있는 설치된 게임을 찾습니다.","Analyser les bibliothèques Steam, Epic Games, GOG et Xbox pour rechercher les jeux installés pouvant être ajoutés au Game Mode automatique."
Scan the image currently stored in the clipboard for a Shadowsocks QR code.,Проверить изображение из буфера обмена на наличие QR-кода Shadowsocks.,扫描剪贴板中的当前图像以查找 Shadowsocks 二维码。,掃描剪貼簿中的目前影像以尋找 Shadowsocks QR Code。,現在クリップボードにある画像から Shadowsocks QR コードをスキャンします。,현재 클립보드에 있는 이미지에서 Shadowsocks QR 코드를 스캔합니다.,Analyser l’image actuellement stockée dans le Presse-papiers à la recherche d’un QR code Shadowsocks.
"Select an online configuration source to update, copy, or remove it.","Выберите источник онлайн-конфигурации, чтобы обновить, скопировать или удалить его.",选择一个在线配置源进行更新、复制或删除。,選擇一個線上設定來源以更新、複製或移除。,更新、コピー、削除するオンライン設定ソースを選択します。,"업데이트, 복사 또는 제거할 온라인 구성 소스를 선택합니다.","Sélectionner une source de configuration en ligne à mettre à jour, copier ou supprimer."
Share servers and import ss:// links or QR codes.,Делиться серверами и импортировать ссылки ss:// или QR-коды.,分享服务器并导入 ss:// 链接或二维码。,分享伺服器並匯入 ss:// 連結或 QR Code。,サーバーを共有し、ss:// リンクまたは QR コードをインポートします。,서버를 공유하고 ss:// 링크 또는 QR 코드를 가져옵니다.,Partager des serveurs et importer des liens ss:// ou des QR codes.
Start Shadowsocks automatically when you sign in to Windows. This option is unavailable in Clean Mode.,Автоматически запускать Shadowsocks при входе в Windows. В Clean Mode эта опция недоступна.,登录 Windows 时自动启动 Shadowsocks。Clean Mode 下此选项不可用。,登入 Windows 時自動啟動 Shadowsocks。Clean Mode 下此選項無法使用。,Windows へのサインイン時に Shadowsocks を自動起動します。Clean Mode ではこのオプションは使用できません。,Windows 로그인 시 Shadowsocks를 자동으로 시작합니다. Clean Mode에서는 이 옵션을 사용할 수 없습니다.,Démarrer automatiquement Shadowsocks à la connexion à Windows. Cette option n’est pas disponible en Clean Mode.
Switch between an online PAC URL and the locally generated GeoSite PAC.,Переключаться между URL онлайн-PAC и локально созданным PAC на основе GeoSite.,在在线 PAC URL 与本地生成的 GeoSite PAC 之间切换。,在線上 PAC URL 與本機產生的 GeoSite PAC 之間切換。,オンライン PAC URL とローカル生成の GeoSite PAC を切り替えます。,온라인 PAC URL과 로컬로 생성된 GeoSite PAC 간에 전환합니다.,Basculer entre une URL PAC en ligne et le PAC GeoSite généré localement.
TCP port of the upstream proxy.,TCP-порт вышестоящего прокси.,上游代理的 TCP 端口。,上游 Proxy 的 TCP 連接埠。,上流プロキシの TCP ポートです。,업스트림 프록시의 TCP 포트입니다.,Port TCP du proxy amont.
TCP/UDP port exposed by the Shadowsocks server.,TCP/UDP-порт сервера Shadowsocks.,Shadowsocks 服务器公开的 TCP/UDP 端口。,Shadowsocks 伺服器公開的 TCP/UDP 連接埠。,Shadowsocks サーバーが公開する TCP/UDP ポートです。,Shadowsocks 서버가 노출하는 TCP/UDP 포트입니다.,Port TCP/UDP exposé par le serveur Shadowsocks.
Temporarily reveal the password for manually managed servers. Link-managed servers keep this option hidden.,"Временно показать пароль для серверов, управляемых вручную. Для серверов из ссылок эта опция скрыта.",临时显示手动管理服务器的密码。通过链接管理的服务器会隐藏此选项。,暫時顯示手動管理伺服器的密碼。由連結管理的伺服器會隱藏此選項。,手動管理サーバーのパスワードを一時的に表示します。リンク管理のサーバーではこのオプションは非表示です。,수동 관리 서버의 비밀번호를 일시적으로 표시합니다. 링크로 관리되는 서버에서는 이 옵션이 숨겨집니다.,Afficher temporairement le mot de passe des serveurs gérés manuellement. Cette option reste masquée pour les serveurs gérés par lien.
Try to register every configured global hotkey immediately.,Попытаться немедленно зарегистрировать все настроенные глобальные горячие клавиши.,立即尝试注册所有已配置的全局快捷键。,立即嘗試註冊所有已設定的全域快速鍵。,設定済みのグローバルホットキーをすべて今すぐ登録します。,구성된 모든 전역 단축키를 지금 등록해 봅니다.,Essayer d’enregistrer immédiatement tous les raccourcis globaux configurés.
URL downloaded and served when Online PAC mode is enabled.,"URL, который загружается и используется при включённом режиме Online PAC.",启用在线 PAC 模式时下载并提供的 URL。,啟用線上 PAC 模式時下載並提供的 URL。,オンライン PAC モード有効時にダウンロードして配信する URL です。,온라인 PAC 모드가 활성화되었을 때 다운로드하고 제공하는 URL입니다.,URL téléchargée et servie lorsque le mode PAC en ligne est activé.
Use the normal user-mode local proxy path without elevation or WinDivert capture.,Использовать обычный пользовательский режим локального прокси без повышения прав и перехвата WinDivert.,使用普通用户模式本地代理路径，不提升权限，也不进行 WinDivert 捕获。,使用一般使用者模式本機 Proxy 路徑，不提高權限，也不進行 WinDivert 擷取。,昇格や WinDivert キャプチャを使わず、通常のユーザーモードのローカルプロキシ経路を使用します。,권한 상승이나 WinDivert 캡처 없이 일반 사용자 모드 로컬 프록시 경로를 사용합니다.,"Utiliser le chemin proxy local normal en mode utilisateur, sans élévation ni capture WinDivert."
Validate and save all application routing rules.,Проверить и сохранить все правила маршрутизации приложений.,验证并保存所有应用程序路由规则。,驗證並儲存所有應用程式路由規則。,すべてのアプリケーションルーティングルールを検証して保存します。,모든 애플리케이션 라우팅 규칙을 검증하고 저장합니다.,Valider et enregistrer toutes les règles de routage d’application.
Validate and save the current server and local client settings.,Проверить и сохранить текущий сервер и настройки локального клиента.,验证并保存当前服务器和本地客户端设置。,驗證並儲存目前伺服器與本機用戶端設定。,現在のサーバーとローカルクライアント設定を検証して保存します。,현재 서버 및 로컬 클라이언트 설정을 검증하고 저장합니다.,Valider et enregistrer les paramètres actuels du serveur et du client local.
Validate and save the forward-proxy configuration.,Проверить и сохранить настройки вышестоящего прокси.,验证并保存上游代理配置。,驗證並儲存上游 Proxy 設定。,上流プロキシ設定を検証して保存します。,업스트림 프록시 구성을 검증하고 저장합니다.,Valider et enregistrer la configuration du proxy amont.
"View logs, traffic history and logging options.","Просматривать журналы, историю трафика и параметры журналирования.",查看日志、流量历史和日志选项。,檢視記錄、流量歷程與記錄選項。,ログ、トラフィック履歴、ログ設定を表示します。,"로그, 트래픽 기록 및 로깅 옵션을 봅니다.","Afficher les journaux, l’historique du trafic et les options de journalisation."
View version information and configure update checks.,Просматривать информацию о версии и настраивать проверку обновлений.,查看版本信息并配置更新检查。,檢視版本資訊並設定更新檢查。,バージョン情報を表示し、更新確認を設定します。,버전 정보를 보고 업데이트 확인을 구성합니다.,Afficher les informations de version et configurer la vérification des mises à jour.
Wrap long log lines instead of requiring horizontal scrolling.,Переносить длинные строки журнала вместо горизонтальной прокрутки.,自动换行长日志行，而不是要求水平滚动。,自動換行較長的記錄行，而不是要求水平捲動。,長いログ行を折り返し、横スクロールを不要にします。,긴 로그 줄을 줄 바꿈하여 가로 스크롤이 필요 없게 합니다.,Renvoyer à la ligne les longues lignes de journal au lieu d’imposer un défilement horizontal.
Plugins,Плагины,插件,外掛程式,プラグイン,플러그인,Plugins
Plugin,Плагин,插件,外掛程式,プラグイン,플러그인,Plugin
None,Нет,无,無,なし,없음,Aucun
Add plugin,Добавить плагин,添加插件,新增外掛程式,プラグインを追加,플러그인 추가,Ajouter un plugin
Choose a plugin,Выберите плагин,选择插件,選擇外掛程式,プラグインを選択,플러그인 선택,Choisir un plugin
Install,Установить,安装,安裝,インストール,설치,Installer
Import ZIP/TAR.GZ,Импорт ZIP/TAR.GZ,导入 ZIP/TAR.GZ,匯入 ZIP/TAR.GZ,ZIP/TAR.GZ をインポート,ZIP/TAR.GZ 가져오기,Importer ZIP/TAR.GZ
Installed plugins,Установленные плагины,已安装插件,已安裝外掛程式,インストール済みプラグイン,설치된 플러그인,Plugins installés
No plugins installed.,Плагины не установлены.,未安装插件。,尚未安裝外掛程式。,プラグインはインストールされていません。,설치된 플러그인이 없습니다.,Aucun plugin installé.
Plugin removed.,Плагин удалён.,插件已删除。,外掛程式已移除。,プラグインを削除しました。,플러그인이 제거되었습니다.,Plugin supprimé.
Install and manage SIP003 plugins.,Установка и управление плагинами SIP003.,安装和管理 SIP003 插件。,安裝和管理 SIP003 外掛程式。,SIP003 プラグインをインストールして管理します。,SIP003 플러그인을 설치하고 관리합니다.,Installer et gérer les plugins SIP003.
Install SIP003 plugins from the built-in list or import a plugin ZIP or TAR.GZ package.,Установите SIP003-плагин из списка или импортируйте пакет плагина ZIP или TAR.GZ.,从内置列表安装 SIP003 插件，或导入 ZIP 或 TAR.GZ 插件包。,從內建清單安裝 SIP003 外掛程式，或匯入 ZIP 或 TAR.GZ 外掛套件。,組み込みリストから SIP003 プラグインをインストールするか、ZIP または TAR.GZ パッケージをインポートします。,기본 목록에서 SIP003 플러그인을 설치하거나 ZIP 또는 TAR.GZ 패키지를 가져옵니다.,Installez un plugin SIP003 depuis la liste intégrée ou importez un paquet ZIP ou TAR.GZ.
Optional SIP003 plugin installed on the Plugins page.,"Необязательный SIP003-плагин, установленный на странице «Плагины».",可选的 SIP003 插件，可在“插件”页面安装。,可選的 SIP003 外掛程式，可在「外掛程式」頁面安裝。,「プラグイン」ページでインストールした任意の SIP003 プラグイン。,플러그인 페이지에서 설치한 선택적 SIP003 플러그인입니다.,Plugin SIP003 facultatif installé depuis la page Plugins.
Choose a supported Windows x64 SIP003 plugin to install.,Выберите поддерживаемый SIP003-плагин для Windows x64.,选择要安装的受支持 Windows x64 SIP003 插件。,選擇要安裝的受支援 Windows x64 SIP003 外掛程式。,インストールする Windows x64 対応 SIP003 プラグインを選択します。,설치할 지원되는 Windows x64 SIP003 플러그인을 선택합니다.,Choisissez un plugin SIP003 Windows x64 pris en charge.
Download the latest Windows x64 release archive and install the selected plugin.,Скачать последний архив Windows x64 и установить выбранный плагин.,下载最新的 Windows x64 版本归档并安装所选插件。,下載最新的 Windows x64 版本封存檔並安裝所選外掛程式。,最新の Windows x64 リリースアーカイブをダウンロードして選択したプラグインをインストールします。,최신 Windows x64 릴리스 아카이브를 다운로드하고 선택한 플러그인을 설치합니다.,Télécharger la dernière archive Windows x64 et installer le plugin sélectionné.
Import a local ZIP or TAR.GZ package containing a Windows plugin executable.,Импортировать локальный пакет ZIP или TAR.GZ с исполняемым файлом плагина Windows.,导入包含 Windows 插件可执行文件的本地 ZIP 或 TAR.GZ 包。,匯入包含 Windows 外掛程式執行檔的本機 ZIP 或 TAR.GZ 套件。,Windows プラグイン実行ファイルを含むローカル ZIP または TAR.GZ パッケージをインポートします。,Windows 플러그인 실행 파일이 포함된 로컬 ZIP 또는 TAR.GZ 패키지를 가져옵니다.,Importer un paquet ZIP ou TAR.GZ local contenant un exécutable de plugin Windows.
Remove this installed plugin from Shadowsocks storage.,Удалить установленный плагин из хранилища Shadowsocks.,从 Shadowsocks 存储中删除此已安装插件。,從 Shadowsocks 儲存空間中移除此已安裝外掛程式。,インストール済みプラグインを Shadowsocks ストレージから削除します。,설치된 플러그인을 Shadowsocks 저장소에서 제거합니다.,Supprimer ce plugin installé du stockage Shadowsocks.
Install SIP003 plugins from the built-in list or import a plugin ZIP or TAR.GZ package. Built-in catalog plugins can update automatically.,Устанавливайте SIP003-плагины из встроенного списка или импортируйте пакет ZIP/TAR.GZ. Плагины из встроенного каталога могут обновляться автоматически.,从内置列表安装 SIP003 插件，或导入 ZIP/TAR.GZ 插件包。内置目录中的插件可自动更新。,從內建清單安裝 SIP003 外掛程式，或匯入 ZIP/TAR.GZ 套件。內建目錄中的外掛程式可自動更新。,組み込みリストから SIP003 プラグインをインストールするか、ZIP/TAR.GZ パッケージをインポートします。組み込みカタログのプラグインは自動更新できます。,기본 목록에서 SIP003 플러그인을 설치하거나 ZIP/TAR.GZ 패키지를 가져옵니다. 기본 카탈로그 플러그인은 자동으로 업데이트할 수 있습니다.,Installez des plugins SIP003 depuis la liste intégrée ou importez un paquet ZIP/TAR.GZ. Les plugins du catalogue intégré peuvent se mettre à jour automatiquement.
Check updates,Проверить обновления,检查更新,檢查更新,更新を確認,업데이트 확인,Rechercher des mises à jour
Check installed catalog plugins for newer GitHub releases now.,Сейчас проверить установленные плагины из каталога на наличие новых релизов GitHub.,立即检查已安装的目录插件是否有较新的 GitHub 版本。,立即檢查已安裝的目錄外掛程式是否有較新的 GitHub 版本。,インストール済みのカタログプラグインについて、新しい GitHub リリースを今すぐ確認します。,설치된 카탈로그 플러그인의 최신 GitHub 릴리스를 지금 확인합니다.,Vérifier maintenant si de nouvelles versions GitHub existent pour les plugins du catalogue installés.
Built-in catalog plugins are checked automatically once per day when they are not in use.,"Плагины из встроенного каталога автоматически проверяются раз в сутки, когда они не используются.",内置目录插件在未使用时每天自动检查一次更新。,內建目錄外掛程式在未使用時每天自動檢查一次更新。,組み込みカタログのプラグインは、使用中でないときに1日1回自動確認されます。,기본 카탈로그 플러그인은 사용 중이 아닐 때 하루에 한 번 자동으로 확인됩니다.,Les plugins du catalogue intégré sont vérifiés automatiquement une fois par jour lorsqu’ils ne sont pas utilisés.
Release: {0},Релиз: {0},版本：{0},版本：{0},リリース: {0},릴리스: {0},Version : {0}
Automatic updates,Автоматические обновления,自动更新,自動更新,自動更新,자동 업데이트,Mises à jour automatiques
Automatically check this catalog plugin for a newer release once per day.,Автоматически проверять этот плагин из каталога на новый релиз раз в сутки.,每天自动检查一次此目录插件是否有新版本。,每天自動檢查一次此目錄外掛程式是否有新版本。,このカタログプラグインの新しいリリースを1日1回自動確認します。,이 카탈로그 플러그인의 새 릴리스를 하루에 한 번 자동으로 확인합니다.,Vérifier automatiquement une fois par jour si une nouvelle version de ce plugin du catalogue est disponible.
{0} plugin(s) updated.,Обновлено плагинов: {0}.,已更新 {0} 个插件。,已更新 {0} 個外掛程式。,{0} 個のプラグインを更新しました。,플러그인 {0}개를 업데이트했습니다.,Plugins mis à jour : {0}.
Plugin updates were deferred because one or more plugins are in use.,Обновление плагинов отложено: один или несколько плагинов сейчас используются.,插件更新已推迟，因为一个或多个插件正在使用中。,外掛程式更新已延後，因為一個或多個外掛程式正在使用中。,1つ以上のプラグインが使用中のため、更新を延期しました。,하나 이상의 플러그인이 사용 중이어서 업데이트가 연기되었습니다.,Les mises à jour des plugins ont été reportées car un ou plusieurs plugins sont en cours d’utilisation.
Installed catalog plugins are up to date.,Установленные плагины из каталога уже обновлены.,已安装的目录插件均为最新版本。,已安裝的目錄外掛程式均為最新版本。,インストール済みのカタログプラグインは最新です。,설치된 카탈로그 플러그인이 최신 상태입니다.,Les plugins du catalogue installés sont à jour.
{0} installed.,{0} установлен.,{0} 已安装。,{0} 已安裝。,{0} をインストールしました。,{0} 설치됨.,{0} installé.
DNS,DNS,DNS,DNS,DNS,DNS,DNS
Manage DNS policy and DNSCrypt Proxy.,Управление политикой DNS и DNSCrypt Proxy.,管理 DNS 策略和 DNSCrypt Proxy。,管理 DNS 原則與 DNSCrypt Proxy。,DNS ポリシーと DNSCrypt Proxy を管理します。,DNS 정책 및 DNSCrypt Proxy를 관리합니다.,Gérer la stratégie DNS et DNSCrypt Proxy.
Manage DNS policy and the optional DNSCrypt Proxy component downloaded from the official upstream release.,"Управляйте политикой DNS и дополнительным компонентом DNSCrypt Proxy, загружаемым из официального upstream-релиза.",管理 DNS 策略以及从官方上游版本下载的可选 DNSCrypt Proxy 组件。,管理 DNS 原則以及從官方上游版本下載的選用 DNSCrypt Proxy 元件。,DNS ポリシーと、公式 upstream リリースからダウンロードする任意の DNSCrypt Proxy コンポーネントを管理します。,DNS 정책과 공식 업스트림 릴리스에서 다운로드하는 선택적 DNSCrypt Proxy 구성 요소를 관리합니다.,Gérer la stratégie DNS et le composant DNSCrypt Proxy facultatif téléchargé depuis la version amont officielle.
DNS mode,Режим DNS,DNS 模式,DNS 模式,DNS モード,DNS 모드,Mode DNS
System DNS,Системный DNS,系统 DNS,系統 DNS,システム DNS,시스템 DNS,DNS système
Direct DNS,Прямой DNS,直连 DNS,直接 DNS,直接 DNS,직접 DNS,DNS direct
DNS through Shadowsocks,DNS через Shadowsocks,通过 Shadowsocks 的 DNS,透過 Shadowsocks 的 DNS,Shadowsocks 経由の DNS,Shadowsocks를 통한 DNS,DNS via Shadowsocks
Custom DoH,Пользовательский DoH,自定义 DoH,自訂 DoH,カスタム DoH,사용자 지정 DoH,DoH personnalisé
DNSCrypt,DNSCrypt,DNSCrypt,DNSCrypt,DNSCrypt,DNSCrypt,DNSCrypt
Administrator Mode transparently redirects captured UDP/TCP DNS traffic to DNSCrypt. User and Game modes do not provide system-wide interception.,Режим администратора прозрачно перенаправляет перехваченный UDP/TCP DNS-трафик в DNSCrypt. Пользовательский и игровой режимы не обеспечивают системный перехват.,管理员模式会将捕获的 UDP/TCP DNS 流量透明重定向到 DNSCrypt。用户模式和游戏模式不提供全系统拦截。,系統管理員模式會將擷取的 UDP/TCP DNS 流量透明重新導向到 DNSCrypt。使用者模式和遊戲模式不提供全系統攔截。,管理者モードでは、キャプチャした UDP/TCP DNS トラフィックを DNSCrypt に透過的にリダイレクトします。ユーザーモードとゲームモードではシステム全体のインターセプトは行いません。,관리자 모드는 캡처된 UDP/TCP DNS 트래픽을 DNSCrypt로 투명하게 리디렉션합니다. 사용자 및 게임 모드는 시스템 전체 가로채기를 제공하지 않습니다.,Le mode administrateur redirige de façon transparente le trafic DNS UDP/TCP capturé vers DNSCrypt. Les modes Utilisateur et Jeu n’assurent pas d’interception à l’échelle du système.
DNSCrypt Proxy,DNSCrypt Proxy,DNSCrypt Proxy,DNSCrypt Proxy,DNSCrypt Proxy,DNSCrypt Proxy,DNSCrypt Proxy
Status,Состояние,状态,狀態,状態,상태,État
Installed version,Установленная версия,已安装版本,已安裝版本,インストール済みバージョン,설치된 버전,Version installée
Latest version,Последняя версия,最新版本,最新版本,最新バージョン,최신 버전,Dernière version
Local port,Локальный порт,本地端口,本機連接埠,ローカルポート,로컬 포트,Port local
Coverage,Охват,覆盖范围,涵蓋範圍,適用範囲,적용 범위,Couverture
Not installed,Не установлен,未安装,未安裝,未インストール,설치되지 않음,Non installé
Full DNS interception requires Administrator Mode.,Полный перехват DNS требует режима администратора.,完整 DNS 拦截需要管理员模式。,完整 DNS 攔截需要系統管理員模式。,完全な DNS インターセプトには管理者モードが必要です。,전체 DNS 가로채기에는 관리자 모드가 필요합니다.,L’interception DNS complète nécessite le mode administrateur.
System DNS is unchanged.,Системный DNS не изменён.,系统 DNS 未更改。,系統 DNS 未變更。,システム DNS は変更されていません。,시스템 DNS는 변경되지 않았습니다.,Le DNS système reste inchangé.
Transparent DNS interception is active for captured applications.,Прозрачный перехват DNS активен для перехваченных приложений.,已对捕获的应用启用透明 DNS 拦截。,已對擷取的應用程式啟用透明 DNS 攔截。,キャプチャ対象アプリケーションで透過 DNS インターセプトが有効です。,캡처된 애플리케이션에 투명 DNS 가로채기가 활성화되었습니다.,L’interception DNS transparente est active pour les applications capturées.
DNS is blocked (fail-closed) because DNSCrypt is unavailable.,"DNS заблокирован (fail-closed), поскольку DNSCrypt недоступен.",由于 DNSCrypt 不可用，DNS 已按故障关闭策略阻止。,由於 DNSCrypt 不可用，DNS 已依故障關閉策略封鎖。,DNSCrypt が利用できないため、DNS は fail-closed でブロックされています.,DNSCrypt를 사용할 수 없어 DNS가 fail-closed 방식으로 차단되었습니다.,Le DNS est bloqué (fail-closed) car DNSCrypt est indisponible.
"DNSCrypt is running, but system-wide interception is paused in Game Mode.","DNSCrypt работает, но системный перехват приостановлен в игровом режиме.",DNSCrypt 正在运行，但游戏模式下全系统拦截已暂停。,DNSCrypt 正在執行，但遊戲模式下全系統攔截已暫停。,DNSCrypt は動作中ですが、ゲームモードではシステム全体のインターセプトが一時停止されています。,DNSCrypt는 실행 중이지만 게임 모드에서는 시스템 전체 가로채기가 일시 중지됩니다.,"DNSCrypt fonctionne, mais l’interception à l’échelle du système est suspendue en mode Jeu."
DNSCrypt is running; full DNS interception requires Administrator Mode.,DNSCrypt работает; полный перехват DNS требует режима администратора.,DNSCrypt 正在运行；完整 DNS 拦截需要管理员模式。,DNSCrypt 正在執行；完整 DNS 攔截需要系統管理員模式。,DNSCrypt は動作中です。完全な DNS インターセプトには管理者モードが必要です。,DNSCrypt가 실행 중입니다. 전체 DNS 가로채기에는 관리자 모드가 필요합니다.,DNSCrypt fonctionne ; l’interception DNS complète nécessite le mode administrateur.
System-wide DNS interception is paused in Game Mode.,Системный перехват DNS приостановлен в игровом режиме.,游戏模式下全系统 DNS 拦截已暂停。,遊戲模式下全系統 DNS 攔截已暫停。,ゲームモードではシステム全体の DNS インターセプトが一時停止されています。,게임 모드에서는 시스템 전체 DNS 가로채기가 일시 중지됩니다.,L’interception DNS à l’échelle du système est suspendue en mode Jeu.
DNSCrypt is unavailable; full DNS interception requires Administrator Mode.,DNSCrypt недоступен; полный перехват DNS требует режима администратора.,DNSCrypt 不可用；完整 DNS 拦截需要管理员模式。,DNSCrypt 不可用；完整 DNS 攔截需要系統管理員模式。,DNSCrypt は利用できません。完全な DNS インターセプトには管理者モードが必要です。,DNSCrypt를 사용할 수 없습니다. 전체 DNS 가로채기에는 관리자 모드가 필요합니다.,DNSCrypt est indisponible ; l’interception DNS complète nécessite le mode administrateur.
Install DNSCrypt Proxy,Установить DNSCrypt Proxy,安装 DNSCrypt Proxy,安裝 DNSCrypt Proxy,DNSCrypt Proxy をインストール,DNSCrypt Proxy 설치,Installer DNSCrypt Proxy
Check for DNSCrypt updates,Проверить обновления DNSCrypt,检查 DNSCrypt 更新,檢查 DNSCrypt 更新,DNSCrypt の更新を確認,DNSCrypt 업데이트 확인,Vérifier les mises à jour DNSCrypt
Check DNSCrypt Update,Проверить обновление DNSCrypt,检查 DNSCrypt 更新,檢查 DNSCrypt 更新,DNSCrypt 更新を確認,DNSCrypt 업데이트 확인,Vérifier la mise à jour DNSCrypt
Restart,Перезапустить,重启,重新啟動,再起動,다시 시작,Redémarrer
Reinstall,Переустановить,重新安装,重新安裝,再インストール,재설치,Réinstaller
Remove DNSCrypt Proxy,Удалить DNSCrypt Proxy,删除 DNSCrypt Proxy,移除 DNSCrypt Proxy,DNSCrypt Proxy を削除,DNSCrypt Proxy 제거,Supprimer DNSCrypt Proxy
DNSCrypt settings,Настройки DNSCrypt,DNSCrypt 设置,DNSCrypt 設定,DNSCrypt 設定,DNSCrypt 설정,Paramètres DNSCrypt
Automatically update DNSCrypt Proxy,Автоматически обновлять DNSCrypt Proxy,自动更新 DNSCrypt Proxy,自動更新 DNSCrypt Proxy,DNSCrypt Proxy を自動更新,DNSCrypt Proxy 자동 업데이트,Mettre à jour automatiquement DNSCrypt Proxy
Require DNSSEC,Требовать DNSSEC,要求 DNSSEC,要求 DNSSEC,DNSSEC を必須にする,DNSSEC 필요,Exiger DNSSEC
Require no-log resolvers,Требовать резолверы без журналирования,要求无日志解析器,要求無記錄解析器,ログを保存しないリゾルバーを必須にする,무로그 리졸버 필요,Exiger des résolveurs sans journalisation
Require unfiltered resolvers,Требовать резолверы без фильтрации,要求未过滤解析器,要求未過濾解析器,フィルタリングしないリゾルバーを必須にする,필터링되지 않은 리졸버 필요,Exiger des résolveurs non filtrés
